seed,p_value,expected_in_degree,realized_degree_mean,realized_degree_min,realized_degree_max,synapse_count,plastic_weight_count,initial_spectral_radius,n_training_trials,final_heldout_nmse,final_heldout_raw_mse,learning_curve_auc,final_weight_change_fro,final_spectral_radius,final_d_pr,final_d90
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,40,0.8937628964365614,0.01787525792873123,1.0473396813969167,12.047222562416847,1.9267551254209934,4.918634943415181,8
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,40,0.8979816607634044,0.01795963321526809,1.0321389610917575,16.172674154268385,2.2251223376510487,3.5527134974357213,8
0,0.2,19.8,20.26,10,33,2026,2026,1.6009858435496835,40,0.9082389241601035,0.018164778483202075,1.0426251843858,18.132394064239616,2.3014761674017525,2.115245265492396,5
0,0.4,39.6,39.5,26,52,3950,3950,1.5089383914280472,40,0.9533667291095943,0.019067334582191887,1.381683819652933,26.911075136574556,3.0699235910676346,4.5337927777395,15
1,0.05,4.95,5.01,2,11,501,501,1.5147267379231755,40,0.7880367418191467,0.015760734836382937,0.8642376476624335,13.162525401492507,1.953745355851286,2.9298209561712416,6
1,0.1,9.9,10.03,3,18,1003,1003,1.4969126100991115,40,0.7458408273957009,0.014916816547914019,0.9824291939453189,15.38496431768358,2.206394205975645,3.481482521803955,8
1,0.2,19.8,19.87,10,32,1987,1987,1.5800567378133157,40,0.8534745063094769,0.01706949012618954,1.0455597020571652,22.092220216958573,2.680357008290955,4.434021791494972,12
1,0.4,39.6,39.1,26,48,3910,3910,1.5586126987563018,40,1.115910414885882,0.022318208297717645,1.227661307236757,28.11647803083252,2.9163038413039386,3.725256942679616,11
2,0.05,4.95,4.77,1,11,477,477,1.4361359544771974,40,0.6220429439075505,0.012440858878151013,0.6777194561807871,15.820126699348704,2.0673690987673017,2.763128964346885,5
2,0.1,9.9,10.12,3,18,1012,1012,1.5502695173584786,40,0.8031663989259734,0.016063327978519473,0.9547320741685962,17.018893225181838,2.213512021508086,3.412827382018456,9
2,0.2,19.8,20.05,11,30,2005,2005,1.5689906153175683,40,0.5911723008867695,0.011823446017735393,0.7778710110974535,18.964316537948935,2.4063438060096436,2.836472810884316,6
2,0.4,39.6,39.88,30,52,3988,3988,1.612190321527031,40,0.663283914914548,0.013265678298290961,0.9965366016816308,25.11256868255638,3.180967372862728,2.4249132324550406,4
