seed,p_value,trial,target_id,online_feedback_loss
0,0.1,1,4,21.04772186381426
0,0.1,2,2,13.148799227218555
0,0.1,3,3,51.421611786872354
0,0.1,4,2,19.36627771834156
0,0.1,5,2,33.56344803136966
0,0.1,6,4,14.75924797295902
0,0.1,7,3,50.066600911350605
0,0.1,8,2,12.764935405751862
0,0.1,9,0,61.645439922273745
0,0.1,10,1,80.91057499919312
0,0.1,11,5,10.18100035678633
0,0.1,12,2,3.3639621357458616
0,0.1,13,0,79.27715210238536
0,0.1,14,2,5.087087089283816
0,0.1,15,3,49.63569288266178
0,0.1,16,5,65.37893593968897
0,0.1,17,2,7.893590308700988
0,0.1,18,1,29.79453037909364
0,0.1,19,1,93.04207585947182
0,0.1,20,5,28.298506759035273
0,0.1,21,4,33.48397924608066
0,0.1,22,0,60.504587314735765
0,0.1,23,3,55.65383331634725
0,0.1,24,4,28.59107389779711
0,0.1,25,5,40.75034635835011
0,0.1,26,4,29.67195884764131
0,0.1,27,5,15.02874905630499
0,0.1,28,1,28.172999559777253
0,0.1,29,5,10.292396854984597
0,0.1,30,5,10.883631650367477
0,0.1,31,0,38.03929974413358
0,0.1,32,4,27.827179753416477
0,0.1,33,0,54.97486163211917
0,0.1,34,1,40.239383231942156
0,0.1,35,3,49.358547525937496
0,0.1,36,2,73.59120177246854
0,0.1,37,5,41.13395916766255
0,0.1,38,0,71.62174153577345
0,0.1,39,0,59.09132031022023
0,0.1,40,0,46.31981978945898
0,0.1,41,1,22.82953212738274
0,0.1,42,1,39.37174052351145
0,0.1,43,3,19.765865659183362
0,0.1,44,3,42.89965474943881
0,0.1,45,4,83.15751853657748
0,0.1,46,4,83.54718223162823
0,0.1,47,3,36.688627503109196
0,0.1,48,1,23.480036980646506
0,0.1,49,1,22.0221054952019
0,0.1,50,0,43.63027215289964
